Kategorie;Produkt;Variante;Status;Apple aktuell €;17 % €;27 % €;Rabattregel;Früher 29.08.2026 €;Änderung Apple €;Hinweis
iphone;iPhone 16 Plus;256 GB;Vorgänger;1079.00;896.07;788.97;Apple/Beats 17 % / versteckt 27 %;1079.00;0.00;Vorgängerpreis als Historie beibehalten.
iphone;iPhone 16 Plus;512 GB;Vorgänger;1329.00;1104.32;972.23;Apple/Beats 17 % / versteckt 27 %;1329.00;0.00;Vorgängerpreis als Historie beibehalten.
ipad;iPad Pro;"11"" · 256 GB · Wi-Fi · Standardglas";Jetzt kaufen;1299.00;1079.33;950.81;Apple/Beats 17 % / versteckt 27 %;1299.00;0.00;
ipad;iPad Pro;"11"" · 512 GB · Wi-Fi · Standardglas";Jetzt kaufen;1549.00;1287.58;1132.88;Apple/Beats 17 % / versteckt 27 %;1549.00;0.00;
ipad;iPad Pro;"11"" · 1 TB · Wi-Fi · Standardglas";Jetzt kaufen;2029.00;1685.04;1483.93;Apple/Beats 17 % / versteckt 27 %;2029.00;0.00;
ipad;iPad Pro;"11"" · 2 TB · Wi-Fi · Standardglas";Jetzt kaufen;2649.00;2200.31;1936.13;Apple/Beats 17 % / versteckt 27 %;2649.00;0.00;
ipad;iPad Pro;"11"" · 1 TB · Wi-Fi · Nanotexturglas";Jetzt kaufen;2159.00;1793.33;1577.94;Apple/Beats 17 % / versteckt 27 %;2159.00;0.00;
ipad;iPad Pro;"11"" · 2 TB · Wi-Fi · Nanotexturglas";Jetzt kaufen;2779.00;2307.41;2031.33;Apple/Beats 17 % / versteckt 27 %;2779.00;0.00;
ipad;iPad Pro;"11"" · 256 GB · Wi-Fi + Cellular · Standardglas";Jetzt kaufen;1549.00;1287.58;1132.88;Apple/Beats 17 % / versteckt 27 %;1549.00;0.00;
ipad;iPad Pro;"11"" · 512 GB · Wi-Fi + Cellular · Standardglas";Jetzt kaufen;1799.00;1494.64;1314.95;Apple/Beats 17 % / versteckt 27 %;1799.00;0.00;
ipad;iPad Pro;"11"" · 1 TB · Wi-Fi + Cellular · Standardglas";Jetzt kaufen;2279.00;1893.29;1666.00;Apple/Beats 17 % / versteckt 27 %;2279.00;0.00;
ipad;iPad Pro;"11"" · 2 TB · Wi-Fi + Cellular · Standardglas";Jetzt kaufen;2899.00;2407.37;2118.20;Apple/Beats 17 % / versteckt 27 %;2899.00;0.00;
ipad;iPad Pro;"11"" · 1 TB · Wi-Fi + Cellular · Nanotexturglas";Jetzt kaufen;2409.00;2000.39;1761.20;Apple/Beats 17 % / versteckt 27 %;2409.00;0.00;
ipad;iPad Pro;"11"" · 2 TB · Wi-Fi + Cellular · Nanotexturglas";Jetzt kaufen;3029.00;2515.66;2213.40;Apple/Beats 17 % / versteckt 27 %;3029.00;0.00;
ipad;iPad Pro;"13"" · 256 GB · Wi-Fi · Standardglas";Jetzt kaufen;1649.00;1369.69;1205.47;Apple/Beats 17 % / versteckt 27 %;1649.00;0.00;
ipad;iPad Pro;"13"" · 512 GB · Wi-Fi · Standardglas";Jetzt kaufen;1899.00;1577.94;1388.73;Apple/Beats 17 % / versteckt 27 %;1899.00;0.00;
ipad;iPad Pro;"13"" · 1 TB · Wi-Fi · Standardglas";Jetzt kaufen;2379.00;1975.40;1738.59;Apple/Beats 17 % / versteckt 27 %;2379.00;0.00;
ipad;iPad Pro;"13"" · 2 TB · Wi-Fi · Standardglas";Jetzt kaufen;2999.00;2490.67;2191.98;Apple/Beats 17 % / versteckt 27 %;2999.00;0.00;
ipad;iPad Pro;"13"" · 1 TB · Wi-Fi · Nanotexturglas";Jetzt kaufen;2509.00;2083.69;1833.79;Apple/Beats 17 % / versteckt 27 %;2509.00;0.00;
ipad;iPad Pro;"13"" · 2 TB · Wi-Fi · Nanotexturglas";Jetzt kaufen;3129.00;2598.96;2285.99;Apple/Beats 17 % / versteckt 27 %;3129.00;0.00;
ipad;iPad Pro;"13"" · 256 GB · Wi-Fi + Cellular · Standardglas";Jetzt kaufen;1899.00;1577.94;1388.73;Apple/Beats 17 % / versteckt 27 %;1899.00;0.00;
ipad;iPad Pro;"13"" · 512 GB · Wi-Fi + Cellular · Standardglas";Jetzt kaufen;2149.00;1785.00;1570.80;Apple/Beats 17 % / versteckt 27 %;2149.00;0.00;
